question,option_a,option_b,option_c,option_d,correct,explanation,time
Combien de couches comporte le modèle OSI?,4,5,6,7,D,Le modèle OSI comporte 7 couches.,180
Quelle est la couche 4 du modèle OSI?,Transport,Réseau,Session,Application,A,La couche 4 est la couche Transport (TCP/UDP).,180
Quel protocole correspond à la couche 3 OSI?,IP,TCP,Ethernet,FTP,A,IP fonctionne à la couche Réseau (couche 3).,180
Combien de couches a le modèle TCP/IP?,3,4,5,7,B,Le modèle TCP/IP est composé de 4 couches.,180
Un LAN couvre généralement:,Une ville entière,Une maison ou un bureau,Un continent,Internet,B,"Un LAN couvre une zone locale (bâtiment, bureau).",180
Un WAN permet de:,Connecter des ordinateurs d'une même salle,Connecter des réseaux à grande échelle,Relier uniquement des imprimantes,Relier des serveurs de stockage,B,Le WAN connecte des réseaux à grande distance.,180
Quelle norme IEEE définit le Wi-Fi?,IEEE 802.3,IEEE 802.11,IEEE 802.15,IEEE 802.16,B,IEEE 802.11 définit les réseaux sans fil (Wi-Fi).,180
Le standard 10Base-T correspond à:,10 Mbps sur paire torsadée,100 Mbps sur fibre optique,10 Mbps sur coaxial épais,1 Gbps sur cuivre,A,10Base-T signifie 10 Mbps sur twisted pair (paire torsadée).,180
Quelle technologie correspond à 1000Base-T?,10 Mbps sur coaxial,100 Mbps fibre,1 Gbps sur paire torsadée,10 Gbps fibre,C,1000Base-T est le Gigabit Ethernet sur paires torsadées.,180
Quelle est la limite de longueur d’un câble Ethernet cuivre (Cat5e) pour une liaison fiable?,10 m,50 m,100 m,500 m,C,La limite standard est de 100 m pour les câbles cuivre Ethernet.,180
Quelle est la différence entre T568A et T568B?,La vitesse supportée,Le brochage des fils,Le type de connecteur,Le diamètre du câble,B,T568A/B définissent deux schémas de brochage RJ45.,180
Quelle couleur identifie généralement une fibre optique monomode?,Bleu,Vert,Orange,Jaune,D,La fibre monomode est souvent identifiée par la couleur jaune.,180
Quel équipement du réseau fonctionne en diffusant les trames à tous les ports?,Switch,Hub,Routeur,Passerelle,B,"Le hub diffuse sur tous les ports, causant des collisions.",180
Quel équipement agit comme frontière entre un LAN et Internet?,Switch,Hub,Routeur,Pont,C,"Le routeur connecte différents réseaux, dont Internet.",180
Un répéteur sert principalement à:,Filtrer le trafic,Régénérer un signal affaibli,Attribuer des adresses IP,Convertir IPv4 en IPv6,B,Le répéteur régénère un signal pour prolonger la distance.,180
Le PoE permet de transmettre:,Uniquement de la puissance,Uniquement des données,Des données et de la puissance,Des signaux analogiques,C,PoE combine données + alimentation sur le même câble Ethernet.,180
Un VLAN permet de:,Séparer logiquement les réseaux,Accélérer le Wi-Fi,Convertir IPv4 en IPv6,Éviter les collisions sur fibre optique,A,Un VLAN segmente logiquement les réseaux.,180
Quelle est la taille minimale d’une trame Ethernet?,46 octets,64 octets,128 octets,1518 octets,B,Une trame Ethernet doit avoir au moins 64 octets.,180
Quelle est la taille maximale d’une trame Ethernet standard?,512 octets,1518 octets,4096 octets,9216 octets,B,La taille maximale standard est de 1518 octets.,180
Quelle adresse IPv4 est réservée au loopback?,192.168.0.1,10.0.0.1,127.0.0.1,255.255.255.255,C,127.0.0.1 est l'adresse de rebouclage (loopback).,180
Quelle plage d’adresses est utilisée pour APIPA?,169.254.x.x,10.x.x.x,172.16.x.x,192.168.x.x,A,APIPA utilise la plage 169.254.x.x.,180
Combien de bits comporte une adresse IPv6?,32,64,128,256,C,IPv6 fait 128 bits (16 octets).,180
Le NAT est utilisé pour:,Convertir IPv6 en IPv4,Traduire des adresses privées en publiques,Attribuer des adresses MAC,Crypter des trames Ethernet,B,NAT traduit les adresses privées en adresses publiques.,180
Le PAT se distingue du NAT car:,Il ne traduit pas les adresses IP,Il utilise les numéros de ports,Il fonctionne uniquement avec IPv6,Il fonctionne uniquement avec la fibre optique,B,PAT traduit aussi les numéros de ports pour différencier les sessions.,180
Quel port est utilisé par HTTPS?,25,53,80,443,D,Le port 443 est utilisé pour HTTPS (HTTP sécurisé).,180
Quel protocole associe une IP à une MAC?,DNS,ARP,ICMP,DHCP,B,ARP lie adresse IP et adresse MAC.,180
Quel protocole utilise Ping pour tester la connectivité?,TCP,UDP,ICMP,DNS,C,Ping repose sur ICMP (requête Echo).,180
Le protocole DNS fonctionne sur le port:,21,25,53,110,C,Le DNS utilise le port 53 (UDP/TCP).,180
Quelle commande permet de tracer l’itinéraire des paquets réseau?,ping,tracert,netstat,ipconfig,B,La commande tracert permet de suivre le chemin des paquets.,180
Quelle commande permet de voir les connexions réseau actives?,ping,arp,netstat,route,C,La commande netstat affiche les connexions actives.,180
La transmission en bande de base transporte:,Des signaux numériques,Des signaux analogiques,Des ondes radio,Des signaux cryptés,A,Baseband = transmission numérique directe.,180
