question,option_a,option_b,option_c,option_d,correct,explanation,time
Quelle est la couche du modèle OSI responsable de l'adressage logique (ex: IP)?,Couche 2 - Liaison de données,Couche 3 - Réseau,Couche 4 - Transport,Couche 7 - Application,B,La couche 3 gère l'adressage logique et l’acheminement des paquets.,180
Quelle couche du modèle OSI s'assure de la correction des erreurs et de la livraison fiable des paquets?,Couche 2 - Liaison de données,Couche 3 - Réseau,Couche 4 - Transport,Couche 7 - Application,C,La couche 4 (transport) assure la fiabilité via TCP.,180
"Quelle couche OSI est responsable de la représentation des données (chiffrement, compression)?",Couche 2 - Liaison de données,Couche 5 - Session,Couche 6 - Présentation,Couche 7 - Application,C,La couche 6 adapte la présentation et le format des données.,180
Quel type de réseau couvre généralement une seule ville?,LAN,WAN,MAN,SAN,C,Le MAN (Metropolitan Area Network) couvre une ville.,180
Un WLAN correspond à:,Un LAN filaire,Un réseau sans fil local,Un réseau métropolitain,Un réseau de stockage,B,Le WLAN est un LAN sans fil.,180
Quel comité IEEE définit Ethernet?,IEEE 802.1,IEEE 802.2,IEEE 802.3,IEEE 802.5,C,IEEE 802.3 définit Ethernet (CSMA/CD).,180
Quelle technologie est normalisée par IEEE 802.11?,Wi-Fi,Bluetooth,Ethernet,Token Ring,A,IEEE 802.11 correspond au Wi-Fi.,180
Quelle était la vitesse du standard Ethernet 10Base5?,1 Mbps,10 Mbps,100 Mbps,1 Gbps,B,Le 10Base5 (Thick Ethernet) offrait 10 Mbps.,180
Quel type de câble utilisait le 10Base2?,Coaxial fin,Coaxial épais,Paire torsadée,Fibre optique,A,Le 10Base2 utilisait un câble coaxial fin (Thin Ethernet).,180
Quelle est la longueur maximale d’un segment 10Base-T sur paires torsadées?,100 m,200 m,500 m,1 km,A,10Base-T a une limite de 100 m.,180
Combien de fils sont utilisés dans un câble Ethernet 100Base-TX?,2,4,6,8,B,100Base-TX utilise 4 fils (2 paires).,180
Quel type de connecteur est utilisé pour les câbles Ethernet?,RJ11,DB9,RJ45,USB,C,Les câbles Ethernet utilisent un connecteur RJ45 (8P8C).,180
Quelle norme de câblage définit les brochages T568A et T568B?,TIA/EIA-568,IEEE 802.3,ISO/IEC 11801,RFC 1918,A,TIA/EIA-568 définit les brochages T568A/B.,180
Quel équipement travaille à la couche 2 et filtre selon les adresses MAC?,Hub,Switch,Routeur,Passerelle,B,Le switch fonctionne à la couche 2 et utilise les adresses MAC.,180
Quel équipement relie des réseaux différents en utilisant des adresses IP?,Hub,Switch,Routeur,Pont,C,Le routeur relie des réseaux différents (couche 3).,180
Quel dispositif agit comme traducteur entre deux protocoles différents?,Routeur,Passerelle,Pont,Répéteur,B,La passerelle traduit entre protocoles différents.,180
"Quelle classe PoE peut fournir jusqu’à 12,95W?",Classe 1,Classe 2,Classe 3,Classe 0,C,"Classe 3 du standard IEEE802.3af fournit jusqu’à 12,95W.",180
Quel est l’avantage principal d’un VLAN?,Augmenter le débit,Réduire les coûts,Segmenter et sécuriser le réseau,Remplacer les switchs,C,Les VLAN segmentent et améliorent la sécurité.,180
Quelle est la taille minimale d’une trame Ethernet?,46 octets,64 octets,512 octets,1518 octets,B,La taille minimale est de 64 octets.,180
Quelle est la taille maximale d’une trame Ethernet standard?,512 octets,1024 octets,1518 octets,4096 octets,C,La taille maximale est 1518 octets.,180
Quelle adresse MAC est utilisée pour un broadcast Ethernet?,00:00:00:00:00:00,FF:FF:FF:FF:FF:FF,01:00:5E:00:00:00,00:11:22:33:44:55,B,FF:FF:FF:FF:FF:FF est l’adresse broadcast.,180
Combien d’adresses théoriques offre IPv4 (32 bits)?,16 millions,"2^32 soit 4,3 milliards",2^64,Illimité,B,"IPv4 offre environ 4,3 milliards d’adresses.",180
Quelle adresse est utilisée pour le loopback IPv4?,0.0.0.0,127.0.0.1,255.255.255.255,169.254.x.x,B,127.0.0.1 est l’adresse loopback.,180
Quelle plage correspond aux adresses APIPA?,192.168.x.x,172.16.x.x,169.254.x.x,10.x.x.x,C,APIPA correspond à 169.254.x.x.,180
Quelle longueur fait une adresse IPv6?,32 bits,64 bits,128 bits,256 bits,C,Une adresse IPv6 fait 128 bits.,180
Quel port est utilisé par HTTP?,20,21,25,80,D,Le port 80 est utilisé par HTTP.,180
Quel protocole résout les noms de domaine en adresses IP?,DHCP,DNS,ARP,ICMP,B,Le DNS traduit un nom en adresse IP.,180
Quel protocole permet de tester la connectivité réseau avec des requêtes Echo?,TCP,UDP,ICMP,DNS,C,Le protocole ICMP est utilisé par Ping.,180
Quel protocole associe une adresse IP à une adresse MAC?,DNS,ARP,ICMP,RARP,B,ARP permet de lier IP et MAC.,180
Quel codage Ethernet représente un bit 0 par un front montant et un bit 1 par un front descendant?,NRZ,NRZI,Manchester,Miller,C,"Le codage Manchester code 0 par un front montant, 1 par un front descendant.",180
